Startup_ID,Team_Size,Founder_Experience_Years,Startup_Age_Years,Industry,City,Funding_Goal,Funding_Raised,Funding_Success,Growth_Rate,Revenue
28,5,7,5,E-Commerce,Delhi,265265,1281784,Yes,High,5000000
29,17,11,7,EdTech,Pune,1616621,556883,No,Low,500000
30,11,1,2,EdTech,Chennai,953188,192349,No,Low,500000
31,7,0,9,FinTech,Kolkata,1839467,2152032,Yes,High,5000000
32,15,9,4,AI,Chennai,1702995,1514978,No,Low,500000
33,9,12,7,E-Commerce,Bangalore,1151782,580789,No,Low,500000
34,17,11,1,EdTech,Chennai,308243,1342613,Yes,High,5000000
35,12,3,2,AgriTech,Pune,885880,1882396,Yes,High,5000000
36,4,4,1,FinTech,Chennai,1706054,1937967,Yes,High,5000000
37,7,0,3,HealthTech,Kolkata,986730,1232229,Yes,High,5000000
38,13,14,10,AI,Hyderabad,1010030,2354144,Yes,High,5000000
39,20,6,4,AgriTech,Hyderabad,423091,1186892,Yes,High,5000000
40,17,5,4,AI,Chennai,302164,163642,No,Low,500000
41,14,7,8,HealthTech,Hyderabad,1375041,768549,No,Low,500000
42,8,2,3,CleanTech,Chennai,1400917,101757,No,Low,500000
43,9,14,10,AI,Bangalore,1280917,714244,No,Low,500000
44,17,11,4,CleanTech,Mumbai,1278445,303179,No,Low,500000
45,5,3,7,CleanTech,Bangalore,1843601,2215194,Yes,High,5000000
46,11,10,3,AgriTech,Kolkata,789718,34785,No,Low,500000
47,13,7,6,E-Commerce,Bangalore,910124,1466826,Yes,High,5000000
48,12,15,2,E-Commerce,Hyderabad,607370,513952,No,Low,500000
49,4,14,8,E-Commerce,Hyderabad,322592,1489601,Yes,High,5000000
50,6,9,9,E-Commerce,Chennai,747371,469708,No,Low,500000
51,20,14,7,CleanTech,Bangalore,1009106,2100345,Yes,High,5000000
52,2,0,8,AgriTech,Kolkata,858434,2463066,Yes,High,5000000
53,4,0,10,E-Commerce,Hyderabad,1900586,336429,No,Low,500000
54,11,10,8,HealthTech,Delhi,794339,522947,No,Low,500000
55,7,8,9,E-Commerce,Bangalore,484766,2147640,Yes,High,5000000
56,3,8,8,EdTech,Kolkata,820118,1280036,Yes,High,5000000
57,9,10,3,CleanTech,Hyderabad,1596430,1450546,No,Low,500000
58,7,3,3,AI,Pune,1144167,232569,No,Low,500000
59,6,7,3,FinTech,Kolkata,389837,2215115,Yes,High,5000000
60,3,1,5,AI,Chennai,948562,1036476,Yes,High,5000000
61,13,1,5,FinTech,Bangalore,626471,578447,No,Low,500000
62,11,14,6,EdTech,Pune,382332,681212,Yes,High,5000000
63,7,14,5,FinTech,Bangalore,847376,2157763,Yes,High,5000000
64,11,13,6,EdTech,Delhi,1159824,846021,No,Low,500000
65,6,3,2,FinTech,Kolkata,1090588,2194266,Yes,High,5000000
66,2,12,1,HealthTech,Chennai,1449839,1247516,No,Low,500000
67,6,10,6,AI,Hyderabad,161462,1069442,Yes,High,5000000
68,5,1,6,AI,Hyderabad,1334114,1195061,No,Low,500000
69,8,8,3,HealthTech,Pune,725168,325347,No,Low,500000
70,6,5,1,AgriTech,Chennai,421857,671134,Yes,High,5000000
71,9,10,7,E-Commerce,Delhi,892593,2165591,Yes,High,5000000
72,11,1,7,CleanTech,Mumbai,245448,2415648,Yes,High,5000000
73,10,11,6,CleanTech,Pune,760547,645832,No,Low,500000
74,3,7,5,E-Commerce,Pune,1494818,1506363,Yes,High,5000000
75,18,14,1,HealthTech,Mumbai,686778,1183881,Yes,High,5000000
76,4,1,9,AgriTech,Delhi,591613,1665214,Yes,High,5000000
77,13,1,2,FinTech,Kolkata,1284303,1123130,No,Low,500000
78,16,5,10,CleanTech,Bangalore,1669671,405537,No,Low,500000
79,18,1,2,EdTech,Hyderabad,228222,2274080,Yes,High,5000000
80,3,13,7,E-Commerce,Kolkata,1072548,1938444,Yes,High,5000000
81,16,0,5,AI,Bangalore,1034086,2063296,Yes,High,5000000
82,11,11,3,HealthTech,Bangalore,1430879,2060765,Yes,High,5000000
83,7,2,4,AgriTech,Mumbai,1715664,1721878,Yes,High,5000000
84,14,15,7,CleanTech,Pune,942587,826700,No,Low,500000
85,16,1,7,HealthTech,Kolkata,1401381,2287662,Yes,High,5000000
86,12,0,8,FinTech,Chennai,1563250,1395373,No,Low,500000
87,12,2,7,FinTech,Bangalore,1970056,1222774,No,Low,500000
88,15,0,4,EdTech,Delhi,1769824,727876,No,Low,500000
89,12,4,4,AI,Kolkata,1414660,1441119,Yes,High,5000000
90,17,7,10,AI,Delhi,899031,1331306,Yes,High,5000000
91,12,8,7,FinTech,Bangalore,1592456,1229261,No,Low,500000
92,11,6,8,AI,Pune,1016220,962950,No,Low,500000
93,19,10,9,FinTech,Bangalore,1592356,449527,No,Low,500000
94,6,10,4,FinTech,Mumbai,1680188,1697655,Yes,High,5000000
95,12,7,5,E-Commerce,Pune,400739,1518566,Yes,High,5000000
96,16,4,3,CleanTech,Hyderabad,484723,1846762,Yes,High,5000000
97,7,7,3,E-Commerce,Pune,1620057,1323220,No,Low,500000
98,18,4,6,CleanTech,Bangalore,1064421,1707894,Yes,High,5000000
99,15,15,7,FinTech,Mumbai,1339199,2061592,Yes,High,5000000
100,15,8,8,EdTech,Kolkata,400161,2148017,Yes,High,5000000
101,5,2,3,E-Commerce,Hyderabad,469049,1689666,Yes,High,5000000
102,8,15,8,FinTech,Kolkata,1063031,79570,No,Low,500000
103,12,12,2,FinTech,Delhi,440495,743574,Yes,High,5000000
104,2,7,2,FinTech,Mumbai,824741,1521118,Yes,High,5000000
105,16,5,3,E-Commerce,Pune,1931367,322809,No,Low,500000
106,10,3,5,CleanTech,Chennai,1216565,2432993,Yes,High,5000000
107,17,2,7,FinTech,Chennai,1405162,1414434,Yes,High,5000000
108,7,7,5,CleanTech,Delhi,1357330,2040795,Yes,High,5000000
109,11,7,1,E-Commerce,Hyderabad,109280,1535186,Yes,High,5000000
110,17,8,6,AgriTech,Hyderabad,593014,1964506,Yes,High,5000000
111,19,1,4,FinTech,Delhi,678637,239902,No,Low,500000
112,16,15,9,HealthTech,Delhi,540340,2081094,Yes,High,5000000
113,5,1,10,AI,Chennai,216534,1620337,Yes,High,5000000
114,13,3,9,AgriTech,Pune,1431842,145582,No,Low,500000
115,10,0,6,HealthTech,Pune,1828177,1291480,No,Low,500000
116,10,12,6,AgriTech,Delhi,1899880,1708823,No,Low,500000
117,16,6,3,EdTech,Pune,1372945,2435235,Yes,High,5000000
118,13,11,10,CleanTech,Hyderabad,294863,2442518,Yes,High,5000000
119,16,4,8,E-Commerce,Mumbai,908300,2282357,Yes,High,5000000
120,11,4,2,HealthTech,Mumbai,1161805,1995684,Yes,High,5000000
121,15,11,2,FinTech,Hyderabad,217438,1293208,Yes,High,5000000
122,16,14,2,HealthTech,Kolkata,1378251,1267686,No,Low,500000
123,13,7,10,EdTech,Chennai,91579,535358,Yes,High,5000000
124,7,6,8,AI,Delhi,757343,1409148,Yes,High,5000000
125,3,10,7,AgriTech,Hyderabad,293886,1063052,Yes,High,5000000
126,9,5,1,AI,Bangalore,724047,1725413,Yes,High,5000000
127,4,7,4,HealthTech,Bangalore,1608116,768156,No,Low,500000
128,18,0,2,EdTech,Bangalore,1586624,2185138,Yes,High,5000000
129,6,0,5,AgriTech,Hyderabad,1091356,284939,No,Low,500000
130,15,2,6,E-Commerce,Delhi,1401672,2337120,Yes,High,5000000
131,11,6,6,HealthTech,Hyderabad,1284929,110797,No,Low,500000
132,13,14,2,CleanTech,Chennai,673329,1993442,Yes,High,5000000
133,6,6,1,HealthTech,Bangalore,586997,126401,No,Low,500000
134,9,5,2,AI,Chennai,198143,2494725,Yes,High,5000000
135,17,15,1,E-Commerce,Mumbai,1850046,1703701,No,Low,500000
136,3,4,10,AI,Mumbai,1025280,1046989,Yes,High,5000000
137,16,6,5,AgriTech,Kolkata,1190827,1714942,Yes,High,5000000
138,6,2,4,AI,Chennai,1428615,1666829,Yes,High,5000000
139,20,7,3,FinTech,Hyderabad,1791592,287208,No,Low,500000
140,9,8,8,AgriTech,Hyderabad,1690429,976415,No,Low,500000
141,5,8,7,AI,Chennai,1247074,1988333,Yes,High,5000000
142,7,9,8,AgriTech,Delhi,156900,956104,Yes,High,5000000
143,7,3,5,E-Commerce,Delhi,1498758,911108,No,Low,500000
144,18,1,4,E-Commerce,Bangalore,696990,2189838,Yes,High,5000000
145,12,10,8,AI,Mumbai,109586,638465,Yes,High,5000000
146,6,3,1,EdTech,Hyderabad,169054,1380611,Yes,High,5000000
147,18,5,7,AI,Kolkata,118295,2189588,Yes,High,5000000
148,10,12,6,AgriTech,Delhi,1840483,463647,No,Low,500000
149,20,11,8,EdTech,Hyderabad,1672005,1590776,No,Low,500000
150,19,5,5,FinTech,Bangalore,1691964,2303231,Yes,High,5000000
151,4,9,8,AI,Bangalore,1314590,277839,No,Low,500000
152,14,1,2,EdTech,Hyderabad,1903310,1087379,No,Low,500000
153,2,12,4,CleanTech,Pune,1623853,31620,No,Low,500000
154,6,3,3,FinTech,Mumbai,1352718,58732,No,Low,500000
155,20,2,4,HealthTech,Mumbai,293431,2453531,Yes,High,5000000
156,15,1,1,HealthTech,Chennai,911435,114986,No,Low,500000
157,5,0,6,HealthTech,Delhi,465049,971741,Yes,High,5000000
158,10,4,10,EdTech,Kolkata,1429123,1269232,No,Low,500000
159,6,7,5,FinTech,Delhi,1965620,1234309,No,Low,500000
160,10,4,6,EdTech,Hyderabad,1192623,2264131,Yes,High,5000000
161,9,1,1,EdTech,Delhi,840803,1095180,Yes,High,5000000
162,18,0,8,AgriTech,Pune,185936,2208335,Yes,High,5000000
163,18,1,7,AgriTech,Hyderabad,1649562,1445744,No,Low,500000
164,8,6,7,AgriTech,Mumbai,1151915,2274617,Yes,High,5000000
165,5,7,2,HealthTech,Kolkata,1454554,136164,No,Low,500000
166,2,6,9,HealthTech,Delhi,613873,1654239,Yes,High,5000000
167,14,2,3,CleanTech,Hyderabad,1080885,1891020,Yes,High,5000000
168,11,12,2,CleanTech,Hyderabad,1632717,2170500,Yes,High,5000000
169,18,5,4,HealthTech,Delhi,359253,942560,Yes,High,5000000
170,8,3,1,AgriTech,Bangalore,1627821,490887,No,Low,500000
171,18,5,7,E-Commerce,Mumbai,308064,2402984,Yes,High,5000000
172,10,0,4,FinTech,Kolkata,782126,808839,Yes,High,5000000
173,9,1,2,HealthTech,Chennai,1779720,1830387,Yes,High,5000000
174,10,7,1,AgriTech,Chennai,378196,1496755,Yes,High,5000000
175,6,1,10,EdTech,Pune,414334,1766939,Yes,High,5000000
176,9,11,10,FinTech,Chennai,1731574,879683,No,Low,500000
177,16,9,1,AgriTech,Mumbai,987663,568300,No,Low,500000
178,3,2,8,HealthTech,Pune,1883315,1265754,No,Low,500000
179,18,7,6,EdTech,Hyderabad,1639862,2314998,Yes,High,5000000
180,12,14,5,HealthTech,Hyderabad,525838,835845,Yes,High,5000000
181,5,12,6,E-Commerce,Pune,100693,984714,Yes,High,5000000
182,8,13,4,CleanTech,Kolkata,1023283,1710233,Yes,High,5000000
183,11,14,4,HealthTech,Mumbai,414732,1755037,Yes,High,5000000
184,14,15,9,EdTech,Hyderabad,790615,1170745,Yes,High,5000000
185,18,3,9,EdTech,Pune,744481,1933609,Yes,High,5000000
186,19,9,2,CleanTech,Mumbai,407747,2049416,Yes,High,5000000
187,17,4,1,AgriTech,Delhi,1660301,1872219,Yes,High,5000000
188,9,4,2,FinTech,Hyderabad,1730214,1196554,No,Low,500000
189,11,10,2,E-Commerce,Chennai,663538,852239,Yes,High,5000000
190,12,9,2,AI,Pune,1789599,1027099,No,Low,500000
191,4,11,3,E-Commerce,Chennai,1153972,1946962,Yes,High,5000000
192,14,9,8,AgriTech,Mumbai,649011,1356830,Yes,High,5000000
193,19,13,10,AI,Mumbai,907493,1448999,Yes,High,5000000
194,9,10,2,FinTech,Chennai,528698,1973517,Yes,High,5000000
195,12,11,4,FinTech,Mumbai,1840690,1138588,No,Low,500000
196,15,13,5,HealthTech,Bangalore,1864838,293677,No,Low,500000
197,19,12,3,AI,Chennai,1437415,1227597,No,Low,500000
198,20,15,9,EdTech,Kolkata,606347,749287,Yes,High,5000000
199,4,2,3,AgriTech,Bangalore,177102,2299573,Yes,High,5000000
200,12,0,10,CleanTech,Kolkata,1733798,1835471,Yes,High,5000000
201,19,12,9,HealthTech,Pune,1605259,840160,No,Low,500000
202,20,2,3,AI,Mumbai,1289691,488911,No,Low,500000
203,7,11,9,HealthTech,Chennai,1305383,740160,No,Low,500000
204,15,4,1,EdTech,Delhi,808260,343453,No,Low,500000
205,16,11,8,AI,Chennai,659934,1094273,Yes,High,5000000
206,13,7,9,HealthTech,Hyderabad,1713344,894865,No,Low,500000
207,15,9,2,EdTech,Chennai,63556,1501292,Yes,High,5000000
208,14,12,1,HealthTech,Kolkata,287597,1433753,Yes,High,5000000
209,3,13,5,E-Commerce,Hyderabad,57550,1107344,Yes,High,5000000
210,8,2,2,AgriTech,Mumbai,787424,631777,No,Low,500000
211,16,12,5,AgriTech,Kolkata,1988037,829802,No,Low,500000
212,17,3,4,E-Commerce,Bangalore,99669,157050,Yes,High,5000000
213,14,14,8,CleanTech,Kolkata,652069,2336022,Yes,High,5000000
214,13,11,10,FinTech,Kolkata,500806,1568957,Yes,High,5000000
215,18,9,10,FinTech,Hyderabad,776375,1396371,Yes,High,5000000
216,8,8,2,AgriTech,Hyderabad,286900,1725085,Yes,High,5000000
217,4,12,5,EdTech,Chennai,1510505,2259823,Yes,High,5000000
218,16,12,5,HealthTech,Kolkata,1287547,1397601,Yes,High,5000000
219,12,14,1,EdTech,Mumbai,1135955,109927,No,Low,500000
220,16,7,10,EdTech,Pune,1384357,1647317,Yes,High,5000000
221,12,6,3,AgriTech,Bangalore,1488720,439865,No,Low,500000
222,8,4,7,E-Commerce,Bangalore,109068,2133119,Yes,High,5000000
223,13,5,4,AgriTech,Pune,1637843,1231955,No,Low,500000
224,4,3,7,HealthTech,Bangalore,1021934,1712607,Yes,High,5000000
225,11,10,4,AI,Hyderabad,797756,1506204,Yes,High,5000000
226,7,4,7,HealthTech,Kolkata,135166,2361052,Yes,High,5000000
227,3,2,6,CleanTech,Hyderabad,77622,2366293,Yes,High,5000000
228,8,5,8,HealthTech,Hyderabad,597502,2049273,Yes,High,5000000
229,9,9,3,HealthTech,Kolkata,1755445,833649,No,Low,500000
230,4,9,8,FinTech,Bangalore,710766,985239,Yes,High,5000000
231,10,13,1,HealthTech,Mumbai,974526,2331291,Yes,High,5000000
232,20,6,3,AgriTech,Bangalore,445545,177915,No,Low,500000
233,8,13,9,FinTech,Kolkata,1234481,167712,No,Low,500000
234,17,8,3,AgriTech,Bangalore,1526379,781350,No,Low,500000
235,9,14,7,AI,Chennai,617537,1903746,Yes,High,5000000
236,20,0,9,E-Commerce,Kolkata,1873371,2224239,Yes,High,5000000
237,17,13,10,HealthTech,Bangalore,1825384,1965068,Yes,High,5000000
238,17,6,5,CleanTech,Delhi,1555918,2480376,Yes,High,5000000
239,7,0,10,E-Commerce,Kolkata,1577679,2088882,Yes,High,5000000
240,19,7,7,CleanTech,Mumbai,777928,1760609,Yes,High,5000000
241,5,10,10,HealthTech,Hyderabad,1283579,1251554,No,Low,500000
242,3,11,8,FinTech,Pune,530925,1333238,Yes,High,5000000
243,5,8,9,CleanTech,Pune,1450006,742859,No,Low,500000
244,2,8,9,FinTech,Hyderabad,1076052,1864577,Yes,High,5000000
245,2,2,4,AgriTech,Hyderabad,224796,339533,Yes,High,5000000
246,5,9,9,CleanTech,Pune,861710,277531,No,Low,500000
247,5,12,5,EdTech,Hyderabad,1179106,796406,No,Low,500000
248,12,3,8,HealthTech,Pune,1805682,608927,No,Low,500000
249,18,5,8,AgriTech,Kolkata,1071469,409446,No,Low,500000
250,18,10,3,AI,Hyderabad,1644814,1012376,No,Low,500000
251,12,8,9,AgriTech,Pune,916131,1444625,Yes,High,5000000
252,20,0,10,AI,Delhi,571767,1360590,Yes,High,5000000
253,15,9,10,AgriTech,Kolkata,202005,2078445,Yes,High,5000000
254,19,11,5,HealthTech,Kolkata,779282,60996,No,Low,500000
255,5,4,2,HealthTech,Pune,678138,2488048,Yes,High,5000000
256,12,9,7,AgriTech,Bangalore,233378,2215333,Yes,High,5000000
257,8,4,3,AI,Pune,82484,1269839,Yes,High,5000000
258,2,6,10,AI,Delhi,1274495,408921,No,Low,500000
259,9,9,6,CleanTech,Bangalore,1769793,1645554,No,Low,500000
260,15,7,10,AI,Kolkata,935823,2047664,Yes,High,5000000
261,5,11,9,AI,Pune,722390,594837,No,Low,500000
262,19,6,10,AI,Mumbai,1175387,2272629,Yes,High,5000000
263,10,14,3,CleanTech,Chennai,560784,1722685,Yes,High,5000000
264,6,9,9,AI,Pune,1360980,1107915,No,Low,500000
265,19,13,7,AI,Chennai,1643346,228480,No,Low,500000
266,3,5,5,HealthTech,Pune,1608473,389399,No,Low,500000
267,5,6,2,EdTech,Bangalore,218234,228520,Yes,High,5000000
268,17,14,6,AgriTech,Chennai,1741733,572867,No,Low,500000
269,9,7,10,EdTech,Mumbai,744991,1719798,Yes,High,5000000
270,8,2,1,CleanTech,Hyderabad,1844728,2267578,Yes,High,5000000
271,15,14,6,FinTech,Pune,1635940,1927594,Yes,High,5000000
272,11,9,9,FinTech,Chennai,1447833,786829,No,Low,500000
273,2,12,8,E-Commerce,Hyderabad,970319,2140168,Yes,High,5000000
274,19,12,10,CleanTech,Hyderabad,842781,1460347,Yes,High,5000000
275,19,2,9,AI,Chennai,488207,776737,Yes,High,5000000
276,16,11,5,E-Commerce,Chennai,1182747,2152016,Yes,High,5000000
277,14,3,4,E-Commerce,Kolkata,1007110,2226021,Yes,High,5000000
278,7,7,9,HealthTech,Hyderabad,1160581,1884641,Yes,High,5000000
279,18,5,8,EdTech,Hyderabad,67276,431528,Yes,High,5000000
280,3,4,3,CleanTech,Delhi,1094359,304614,No,Low,500000
281,10,8,4,EdTech,Pune,109668,539586,Yes,High,5000000
282,7,11,6,E-Commerce,Chennai,708152,2447018,Yes,High,5000000
283,6,7,2,FinTech,Bangalore,1257446,773647,No,Low,500000
284,8,14,5,EdTech,Delhi,849918,268679,No,Low,500000
285,9,2,9,EdTech,Bangalore,1116201,1005514,No,Low,500000
286,19,15,2,HealthTech,Mumbai,1997710,2111369,Yes,High,5000000
287,5,8,10,HealthTech,Mumbai,1037333,942998,No,Low,500000
288,6,9,4,EdTech,Mumbai,706558,2489891,Yes,High,5000000
289,19,1,4,CleanTech,Mumbai,1363680,2451665,Yes,High,5000000
290,9,7,2,CleanTech,Chennai,1706614,1167264,No,Low,500000
291,2,15,1,AgriTech,Delhi,248702,842281,Yes,High,5000000
292,9,1,3,AI,Pune,1703704,1001225,No,Low,500000
293,16,1,5,FinTech,Delhi,1100595,1090070,No,Low,500000
294,18,3,1,EdTech,Bangalore,361236,1473009,Yes,High,5000000
295,18,7,6,AgriTech,Hyderabad,1565308,639130,No,Low,500000
296,18,15,8,HealthTech,Bangalore,1437576,2089381,Yes,High,5000000
297,17,5,2,HealthTech,Delhi,888169,1531131,Yes,High,5000000
298,3,3,3,CleanTech,Delhi,1886686,906126,No,Low,500000
299,13,8,1,E-Commerce,Delhi,816885,2365222,Yes,High,5000000
300,19,1,10,CleanTech,Hyderabad,638559,2117721,Yes,High,5000000
301,7,12,4,FinTech,Delhi,904356,1999449,Yes,High,5000000
302,16,3,3,HealthTech,Hyderabad,1639769,1172536,No,Low,500000
303,11,2,8,AI,Delhi,1266516,1461491,Yes,High,5000000
304,20,15,9,FinTech,Bangalore,542698,903386,Yes,High,5000000
305,3,10,8,CleanTech,Chennai,1837043,540452,No,Low,500000
306,3,12,1,CleanTech,Delhi,1729797,468878,No,Low,500000
307,7,8,9,FinTech,Kolkata,1273382,2060801,Yes,High,5000000
308,17,8,3,AgriTech,Mumbai,1983827,1821594,No,Low,500000
309,14,10,1,AgriTech,Delhi,1128250,1912769,Yes,High,5000000
310,19,2,9,HealthTech,Bangalore,1237167,1998658,Yes,High,5000000
311,3,0,1,CleanTech,Kolkata,999307,2329727,Yes,High,5000000
312,11,4,4,AI,Pune,436497,1625832,Yes,High,5000000
313,11,3,9,HealthTech,Chennai,361405,169502,No,Low,500000
314,18,2,2,E-Commerce,Mumbai,894503,1465369,Yes,High,5000000
315,7,8,5,E-Commerce,Chennai,1619350,1196936,No,Low,500000
316,5,10,5,AgriTech,Kolkata,228404,1218569,Yes,High,5000000
317,3,1,2,AI,Mumbai,1820958,1445236,No,Low,500000
318,16,0,5,HealthTech,Pune,1590549,2374197,Yes,High,5000000
319,13,2,8,AgriTech,Kolkata,850279,2179090,Yes,High,5000000
320,17,14,7,EdTech,Kolkata,831814,2105414,Yes,High,5000000
321,3,2,1,HealthTech,Delhi,1327482,1180450,No,Low,500000
322,15,1,7,FinTech,Chennai,1193741,1297032,Yes,High,5000000
323,17,5,9,E-Commerce,Delhi,1085380,821779,No,Low,500000
324,10,3,10,CleanTech,Delhi,375249,167966,No,Low,500000
325,4,12,3,EdTech,Chennai,955940,1100271,Yes,High,5000000
326,16,1,5,HealthTech,Chennai,882964,2475932,Yes,High,5000000
327,9,6,7,CleanTech,Pune,1512300,1624175,Yes,High,5000000
328,2,9,10,AI,Delhi,1586324,825686,No,Low,500000
329,7,3,7,EdTech,Kolkata,1880418,1542662,No,Low,500000
330,19,4,8,FinTech,Hyderabad,1973881,747026,No,Low,500000
331,4,5,9,HealthTech,Chennai,1868095,1303480,No,Low,500000
332,18,12,5,CleanTech,Kolkata,589726,882214,Yes,High,5000000
333,6,0,7,FinTech,Kolkata,552322,1837135,Yes,High,5000000
334,7,3,1,AI,Delhi,708156,1668892,Yes,High,5000000
335,9,7,5,AgriTech,Pune,385110,723337,Yes,High,5000000
336,5,12,9,HealthTech,Chennai,1634517,1928166,Yes,High,5000000
337,14,13,2,FinTech,Delhi,1722307,2443938,Yes,High,5000000
338,18,1,9,FinTech,Bangalore,100941,1073966,Yes,High,5000000
339,6,4,5,AI,Chennai,393247,1933914,Yes,High,5000000
340,9,6,1,AgriTech,Delhi,1683651,520679,No,Low,500000
341,4,15,6,HealthTech,Pune,1896219,1244085,No,Low,500000
342,9,3,7,AI,Bangalore,443029,1550431,Yes,High,5000000
343,7,11,7,EdTech,Mumbai,501596,1002746,Yes,High,5000000
344,16,13,5,EdTech,Mumbai,1046427,328323,No,Low,500000
345,16,0,4,CleanTech,Mumbai,1123028,2252189,Yes,High,5000000
346,8,7,9,AI,Delhi,85959,816100,Yes,High,5000000
347,16,4,2,FinTech,Hyderabad,1782798,2352811,Yes,High,5000000
348,9,3,10,FinTech,Hyderabad,1747885,1227616,No,Low,500000
349,5,7,4,EdTech,Delhi,1494615,1529270,Yes,High,5000000
350,2,5,3,AgriTech,Delhi,1435617,592690,No,Low,500000
351,6,15,10,AgriTech,Mumbai,1374363,106622,No,Low,500000
352,3,3,8,AgriTech,Kolkata,1880285,176770,No,Low,500000
353,12,15,3,E-Commerce,Chennai,533566,1852552,Yes,High,5000000
354,2,9,5,HealthTech,Chennai,335041,1272595,Yes,High,5000000
355,15,10,5,EdTech,Kolkata,1025955,1543040,Yes,High,5000000
356,2,3,9,AgriTech,Pune,1563461,1750587,Yes,High,5000000
357,4,10,5,HealthTech,Chennai,1347903,423528,No,Low,500000
358,18,5,10,AI,Mumbai,1120089,2092463,Yes,High,5000000
359,11,3,4,CleanTech,Bangalore,1365464,213254,No,Low,500000
360,8,9,1,EdTech,Pune,530875,1987627,Yes,High,5000000
361,19,5,3,EdTech,Bangalore,249065,1569027,Yes,High,5000000
362,12,1,10,EdTech,Mumbai,971669,2350550,Yes,High,5000000
363,4,12,1,AI,Pune,1864913,750153,No,Low,500000
364,19,12,1,EdTech,Chennai,1093134,213502,No,Low,500000
365,13,4,2,HealthTech,Kolkata,1850657,932084,No,Low,500000
366,6,6,1,E-Commerce,Kolkata,60924,728763,Yes,High,5000000
367,18,0,10,HealthTech,Hyderabad,621399,1013053,Yes,High,5000000
368,7,6,1,HealthTech,Delhi,1661833,1751922,Yes,High,5000000
369,13,8,9,AI,Mumbai,1876757,2304916,Yes,High,5000000
370,10,8,4,CleanTech,Delhi,346452,80728,No,Low,500000
371,13,3,3,E-Commerce,Pune,279740,2152075,Yes,High,5000000
372,18,2,5,CleanTech,Pune,1835017,1339336,No,Low,500000
373,18,3,9,CleanTech,Kolkata,970342,2079747,Yes,High,5000000
374,15,6,9,EdTech,Hyderabad,1601165,1973402,Yes,High,5000000
375,8,3,9,AI,Pune,441535,1754281,Yes,High,5000000
376,5,15,4,EdTech,Mumbai,672746,338874,No,Low,500000
377,10,7,5,CleanTech,Delhi,1524913,2216148,Yes,High,5000000
378,9,12,2,HealthTech,Mumbai,371833,1870041,Yes,High,5000000
379,3,0,9,HealthTech,Delhi,411458,1363266,Yes,High,5000000
380,8,7,1,HealthTech,Delhi,345575,789768,Yes,High,5000000
381,15,11,5,AI,Hyderabad,1463029,579997,No,Low,500000
382,15,4,9,HealthTech,Chennai,1859456,2097327,Yes,High,5000000
383,8,10,3,CleanTech,Mumbai,427169,1639488,Yes,High,5000000
384,12,12,8,HealthTech,Pune,841235,411891,No,Low,500000
385,18,9,3,CleanTech,Bangalore,1074746,2411432,Yes,High,5000000
386,16,11,2,AgriTech,Hyderabad,652564,1033077,Yes,High,5000000
387,16,7,5,AI,Kolkata,468009,1515016,Yes,High,5000000
388,10,5,3,FinTech,Hyderabad,1173921,341497,No,Low,500000
389,15,14,5,FinTech,Bangalore,1027065,397641,No,Low,500000
390,10,15,3,AI,Bangalore,876327,1819704,Yes,High,5000000
391,14,6,10,FinTech,Chennai,1588790,2493092,Yes,High,5000000
